# EVTDESC_SUFI_4090;I have decided to show my devotion to God and the order by taking a vow of celibacy.;J'ai décidé de montrer ma dévotion à Dieu et à l'ordre en faisant vœu de célibat.;Ich habe mich entschlossen, meine Hingabe an Gott und den Orden durch die Abgabe eines Keuschheitsgelübdes zu beweisen.;;He decidido jurar el voto de celibato como muestra de mi devoción por Dios.;;;;;;;;;x
# EVTOPT_SUFI_4090;Praise God!;Dieu soit loué !;Gepriesen sei Gott!;;¡Alabado sea Dios!;;;;;;;;;x
# EVTDESC_SUFI_4091;I have decided to stop my vow of celibacy and re-attend my duties to my family.;J'ai décidé de briser mon vœu de célibat et de remplir à nouveau mes devoirs envers ma famille.;Ich habe mich entschlossen, mein Keuschheitsgelübde zu beenden und mich wieder meinen Familienpflichten zuzuwenden.;;He decidido poner fin a mi voto de celibato para retomar mis obligaciones familiares.;;;;;;;;;x
EVTOPT_SUFI_4091;The ordeal is over.;Le supplice est terminé.;Die Qual ist zu Ende.;;Por fin se ha acabado esta tortura.;;;;;;;;;x
EVTDESC_SUFI_4409_LUSTFUL;I tried to ignore the thoughts, but it was impossible! In the end, I could not take it anymore, and snuck out one evening to visit the local brothel. Afterwards, I returned to my chambers, thinking that was the end of it. However, it turns out that someone saw me, and now everyone knows!;J'ai essayé d'ignorer ces pensées, en vain ! À la fin, ne les supportant plus, je suis allé[Root.GetNoneE] à la maison close locale. Ensuite, je suis retourné[Root.GetNoneE] à mes appartements, pensant que la page était tournée. Cependant, il s'avère que quelqu'un m'a vu, et maintenant tout le monde le sait !;Ich habe versucht, die Gedanken zu ignorieren, aber es war unmöglich! Schließlich konnte ich es nicht mehr ertragen und schlich mich eines Abends hinaus zu einem Bordell in der Umgebung. Danach kehrte ich in meine Gemächer zurück, keinen weiteren Gedanken daran verschwendend. Aber es stellte sich heraus, dass mich jemand sah, und jetzt wissen alle Bescheid!;;He intentado espantar las ideas pecaminosas, ¡pero es imposible! Una tarde no podía aguantarlo más e hice una visita al burdel local. Después volví a mis aposentos y pensaba que podría olvidarme del asunto. Sin embargo, alguien me vio y ahora todos se han enterado de mi escapada.;;;;;;;;;x
EVTOPTA_SUFI_4409_LUSTFUL;I must learn to control this!;Je dois apprendre à maîtriser cette tendance !;Ich muss diesen Drang unter Kontrolle bekommen!;;Debo aprender a controlarme.;;;;;;;;;x
EVTDESC_SUFI_4405_GLUTTONOUS;I know that [Root.GetsufiMoSaint] was a paragon of temperance, however I struggle to control my appetite. While [Root.GetsufiMoPenanceMeditation], I am supposed to eat very simple food in small portions, but I am growing weary. I cannot concentrate when my stomach rumbles like this!;Je sais que [Root.GetsufiMoSaint] était un parangon de modération, et je dois lutter pour maîtriser mon appétit. Puisque je passe du temps [Root.GetsufiMoPenanceMeditation], je suis supposé[Root.GetNoneE] manger de la nourriture de base en petites quantités, mais je me lasse. Je ne peux pas me concentrer lorsque mon ventre gargouille !;[Root.GetsufiMoSaint], ich weiß, du warst ein Vorbild der Mäßigung, aber ich kann meinen Appetit nicht zügeln. Während der [Root.GetsufiMoPenanceMeditation] soll ich einfache Nahrung in kleinen Portionen zu mir nehmen, aber ich werde schwach. Ich kann mich nicht konzentrieren, wenn mein Magen dermaßen knurrt!;;[Root.GetsufiMoSaint] fue un ejemplo de moderación, pero a mí me cuesta controlar mi apetito. Dicen que mientras se hace [Root.GetsufiMoPenanceMeditation] se debe comer muy poco y en porciones pequeñas, pero empiezo a cansarme. ¡No es nada fácil concentrarse cuando el estómago te ruge!;;;;;;;;;x
EVTOPTA_SUFI_4405_GLUTTONOUS;After a little treat I shall return to my duties with doubled focus!;Après un petit plaisir, je retournerai à mes obligations deux fois plus concentré[Root.GetNoneE] !;Nach einem Leckerbissen werde ich mich mit doppelter Kraft auf meine Pflichten stürzen!;;Voy a tomarme un tentempié y retomaré mis obligaciones con el doble de concentración.;;;;;;;;;x
EVTOPTB_SUFI_4405_GLUTTONOUS;I shall defeat my desires with a fast!;Je vaincrai mes envies avec un jeûne !;Ich werde meine Gelüste durch Fasten bezwingen!;;El ayuno me ayudará a superar mis deseos.;;;;;;;;;x
EVTDESC_SUFI_4406_GLUTTONOUS;I waited until midnight before I made my way to the kitchens. I found some of my favorite treats in one of the pantries. After many days on the most dreary of diets, they tasted like the most delicious food I had ever eaten! My appetite is satiated for now and no one is the wiser.;J'ai attendu jusqu'à minuit avant de me rendre dans les cuisines. J'ai trouvé quelques-unes de mes friandises préférées dans un des garde-manger. Après de nombreux jours du plus ennuyeux des régimes, elles ont eu le goût de la nourriture la plus délicieuse que j'ai jamais mangée ! Mon appétit est rassasié pour le moment et personne ne le remarquera.;Ich wartete bis Mitternacht, bevor ich mich in den Küchenbereich schlich. Dort fand ich in einer der Vorratskammern eine meiner Lieblingssüßigkeiten. Nach Tagen auf einer trostlosen Diät schmeckte das wie die köstlichste Speise, die ich je hatte! Mein Appetit ist fürs Erste gestillt und niemand hat etwas bemerkt.;;He esperado hasta la medianoche y me he dirigido a la cocina. He encontrado mi aperitivo favorito en una de las despensas. Tras tantos días a dieta, me ha parecido el manjar más exquisito. He saciado el apetito y nadie se ha enterado.;;;;;;;;;x
EVTOPTA_SUFI_4406_GLUTTONOUS;That was exactly what I needed.;C'est ce dont j'avais besoin.;Das war genau das, was ich brauchte.;;Justo lo que necesitaba.;;;;;;;;;x
EVTDESC_SUFI_4407_GLUTTONOUS;After midnight I ventured to the kitchens to find something to still my hunger. I quickly found my favorite treats and proceeded to shove handfuls into my mouth. However, my binge was interrupted as a servant entered the room. As I hid in the pantry, the shame washed over me, and I could not eat anything else.;Après minuit, je me suis aventuré[Root.GetNoneE] dans les cuisines pour trouver quelque chose pour faire taire ma faim. J'ai rapidement trouvé mes friandises préférées et en ai mis une poignée dans ma bouche. Cependant, ma frénésie fut interrompue par un domestique qui allait entrer dans la pièce. Lorsque je me suis caché[Root.GetNoneE] dans le garde-manger, la honte m'a envahi[Root.GetNoneE], et je n'ai pas pu manger autre chose.;Nach Mitternacht ging ich in die Küche, um etwas zu finden, womit ich meinen Hunger stillen konnte. Bald darauf fand ich meine Lieblingssüßigkeiten und begann, mir raue Mengen davon in den Mund zu stopfen. Mein Gelage wurde aber unterbrochen, als ein Bediensteter den Raum betrat. Als ich mich in der Vorratskammer versteckte, fühlte ich mich schändlich, und der Appetit verging mir.;;Pasada la medianoche, me he dirigido a la cocina en busca de algo con lo que calmar el hambre. He encontrado mi aperitivo favorito y lo he devorado con ansia. El atracón ha llegado a su fin súbitamente, cuando he visto acercarse a un sirviente. Me he escondido en la despensa para que no me viera y he pasado tanta vergüenza que no he podido comer más.;;;;;;;;;x
EVTOPTA_SUFI_4407_GLUTTONOUS;Now I just feel nauseated...;Maintenant, je me sens juste nauséeu[Root.GetXSe]...;Nun fühle ich mich nur angewidert ...;;Tengo ganas de vomitar...;;;;;;;;;x
EVTDESC_SUFI_4408_GLUTTONOUS;During the first days of my fast, I felt as if I was going to die. As I woke on the third day, however, I was surprised by how clear my mind was and how little the lack of sustenance bothered me. The next day when I broke my fast and returned to my simple diet, it was more than enough to satisfy me.;Pendant les premiers jours de mon jeûne, je me sentais comme si j'allais mourir. En me réveillant le troisième jour, cependant, j'ai été surpris[Root.GetNoneE] par la clarté de mon esprit et à quel point le manque de nourriture m'a peu dérangé. Le lendemain, quand j'ai arrêté mon jeûne et suis retourné[Root.GetNoneE] à mon régime alimentaire simple, il était plus que suffisant pour me satisfaire.;Während der ersten Fastentage war mir, als ob ich sterben müsste. Als ich am dritten Tag erwachte, war ich jedoch überrascht, wie klar mein Verstand war und wie wenig mich der Mangel an Nahrung störte. Am nächsten Tag beendete ich die Fastenzeit und kehrte zu meiner einfachen Diät zurück. Sie reichte mir vollkommen.;;Durante los primeros días de ayuno, creía que me iba a morir. Cuando me desperté el tercer día, sentí una gran claridad mental y que la falta de sustento ya no me consumía. Al día siguiente abandoné el ayuno y retomé mi dieta habitual, que es más de lo que necesito para saciar el hambre.;;;;;;;;;x
EVTOPTA_SUFI_4408_GLUTTONOUS;I am stronger than I thought.;Je suis plus fort[Root.GetNoneE] que je ne le pensais.;Ich bin stärker, als ich dachte.;;Soy más fuerte de lo que pensaba.;;;;;;;;;x
EVTDESC_SUFI_4409_GLUTTONOUS;The first day of the fast went reasonably well, but on the second one, I woke up ravenous. I thought I would die! I hurried to the kitchen, ignoring the servants' stares. Once there I proceeded to shove anything edible I could find into my mouth, not caring who saw me. Now everyone knows about my failure!;Le premier jour du jeûne s'est assez bien passé, mais lors du second, je me suis réveillé[Root.GetNoneE] avec une faim de loup. J'ai cru que j'allais mourir ! Je me suis précipité[Root.GetNoneE] vers la cuisine, ignorant les regards des serviteurs. Une fois sur place, j'ai engouffré tout ce que je pouvais manger, sans m'inquiéter de qui m'a vu. Maintenant, tout le monde sait que j'ai échoué !;Der erste Fastentag verlief relativ gut, aber am zweiten wachte ich von einem unbändigen Hunger geplagt auf. Ich dachte, ich müsste sterben! Ich eilte zur Küche und ignorierte die Blicke der Bediensteten. Als ich dort war, stopfte ich mir alles Essbare, das ich auftreiben konnte, in den Mund. Es war mir völlig egal, wer mich sah. Jetzt weiß jeder, dass ich versagt habe!;;El primer día de ayuno fue bastante bien, pero al día siguiente me desperté con un hambre feroz. ¡Creía que me iba a morir! Fui corriendo a la cocina y me metí todo lo que pude en la boca mientras ignoraba las miradas de los sirvientes. Ahora todos se han enterado de mi fracaso.;;;;;;;;;x
EVTOPTA_SUFI_4409_GLUTTONOUS;How could I shame myself so?;Comment pourrais-je me faire une telle honte ?;Wie konnte ich nur solche Schande auf mich laden?;;He hecho un ridículo espantoso.;;;;;;;;;x
EVTDESC_SUFI_4405_GREEDY;My [Root.Religion.GetPriestTitle] always talks about the importance of charity, and I do give alms to the poor on a regular basis. However, I often feel reluctant when doing so, and it brings me shame. While [Root.GetsufiMoPenanceMeditation], I have had plenty of time to think about this. Perhaps I should strive to be more charitable?;Mon [Root.Religion.GetPriestTitle] parle toujours de l'importance de la charité, et je donne régulièrement l'aumône aux pauvres. Cependant, je me sens souvent réticent[Root.GetNoneE] à le faire, et j'en ai honte. Le temps passé [Root.GetsufiMoPenanceMeditation] m'a permis d'y réfléchir. Peut-être devrais-je m'efforcer à être plus charitable ?;Mein(e) [Root.Religion.GetPriestTitle] spricht unentwegt über die Bedeutung von Nächstenliebe und ich gebe den Armen regelmäßig Almosen. Aber ich verspüre oftmals Zurückhaltung dabei und ich schäme mich dafür. Während der [Root.GetsufiMoPenanceMeditation] hatte ich genug Zeit, um darüber nachzudenken. Vielleicht sollte ich großzügiger sein?;;Mi [Root.Religion.GetPriestTitle] siempre me ha hablado de la importancia de la caridad y yo doy limosna a los pobres con frecuencia. Sin embargo, a veces dudo cuando lo hago, y me avergüenzo por ello. Cuando hago[Root.GetsufiMoPenanceMeditation] puedo reflexionar sobre ello para llegar a ser una persona más caritativa.;;;;;;;;;x
EVTOPTA_SUFI_4405_GREEDY;I still give, don't I? Surely that must be enough.;Je donne toujours, n'est-ce pas? Cela doit être suffisant.;Immerhin spende ich, oder nicht? Das muss doch reichen.;;Aun así, doy dinero, que es lo que cuenta.;;;;;;;;;x
EVTOPTB_SUFI_4405_GREEDY;I don't give enough. I will make another donation!;Je ne donne pas assez. Je vais faire un autre don !;Ich gebe nicht genug. Ich werde noch mal spenden!;;No doy suficiente limosna. Voy a hacer otro donativo.;;;;;;;;;x
EVTDESC_SUFI_4406_GREEDY;After coming to the realization that I am already doing so much for my subjects as their [Root.GetTitle], I have been able to put the thought about charity out of my mind. It does not distract me any longer.;Après avoir réalisé que je fais déjà beaucoup pour mes sujets en tant qu[Root.Get_e_Title][Root.GetTitle], j'ai pu mettre hors de mon esprit la pensée de la charité. Ça ne me distrait plus.;Mithilfe der Erkenntnis, dass ich als [Root.GetTitle] bereits genug für meine Untertanen tue, konnte ich den Gedanken der Nächstenliebe aus meinem Kopf vertreiben. Er stört mich nicht länger.;;He llegado a la conclusión de que ya hago bastante por mis súbditos como [Root.GetTitle]. He dejado de obsesionarme con el asunto de la caridad y ya no pierdo el tiempo con ello.;;;;;;;;;x
EVTOPTA_SUFI_4406_GREEDY;I am a good [Root.GetReligiousPerson], on the whole.;Je suis un[Root.GetNoneE] bo[Root.GetNNne] [Root.GetReligiousPersonMascFem], dans l'ensemble.;Im Großen und Ganzen bin ich ein guter [Root.GetReligiousPerson] Mensch.;;Creo que sigo los preceptos del credo [Root.GetReligiousPerson] en general.;;;;;;;;;x
EVTDESC_SUFI_4407_GREEDY;I thought I was happy with my decision, but then the guilt came creeping. I should not crave money and possessions in this way. These feelings are not in accordance with [Root.GetsufiMoCode], but I cannot help myself.;J'ai pensé que j'étais heureu[Root.GetXSe] de ma décision, mais alors la culpabilité est devenue larvée. Je ne devrais pas avoir envie d'argent et de biens de cette façon. Ces sentiments ne respectent pas [Root.GetsufiMoCode], mais je ne peux pas m'en empêcher.;Ich dachte, ich wäre zufrieden mit meiner Entscheidung, aber dann begann ich, mich schuldig zu fühlen. Es sollte mir nicht so viel an Geld und Besitz liegen. Diese Gefühle lassen sich nicht mit [Root.GetsufiMoCodedemder] vereinbaren, aber ich kann mir nicht helfen.;;Creía haber tomado la decisión correcta, pero de repente me sentí culpable. No está bien desear las riquezas y los bienes de esta manera. Mis deseos van en contra de [Root.GetsufiMoCode], pero no puedo evitar mis anhelos.;;;;;;;;;x
EVTOPTA_SUFI_4407_GREEDY;I am a good [Root.GetReligiousPerson], am I not? Surely?;Je suis un[Root.GetNoneE] bo[Root.GetNNne] [Root.GetReligiousPersonMascFem], n'est-ce pas ? Assurément ?;Ich bin ein guter [Root.GetReligiousPerson] Mensch, oder etwa nicht? Doch, bestimmt ...;;Sigo adecuadamente los preceptos del credo [Root.GetReligiousPerson], ¿no?;;;;;;;;;x
EVTDESC_SUFI_4408_GREEDY;I ordered one of my most trusted servants to take a substantial sum of money from my personal treasury and bring it to the local [Root.GetsufiMoBuilding]. Strangely enough, when [Root.GetSheHe] left, I felt... relief. Perhaps this is the first step towards freeing myself of the desire for material possessions?;J'ai ordonné à un[Root.GetNoneE] de mes domestiques les plus dignes de confiance de prendre une somme d'argent substantielle de mon trésor personnel et de l'apporter [Root.GetsufiMoBuilding]. Curieusement, quand [Root.GetIlElle] est parti[Root.GetNoneE], je me suis senti[Root.GetNoneE]... soulagé[Root.GetNoneE]. Peut-être est-ce là la première étape vers la libération du désir de possessions matérielles ?;Ich beauftragte einen meiner Bediensteten, eine beachtliche Summe Geld aus meiner persönlichen Schatzkammer zum [Root.GetsufiMoBuilding] zu bringen. Als [Root.GetSheHe] ging, fühlte ich mich seltsamerweise ... erleichtert. Vielleicht ist das der erste Schritt, mich von dem Wunsch nach materiellen Gütern zu befreien?;;He ordenado a uno de mis sirvientes de confianza que coja una cantidad de dinero de mi cámara del tesoro y la lleve al [Root.GetsufiMoBuilding] local. Lo extraño es que cuando se ha ido me ha invadido una sensación de alivio. Puede que haya dado el primer paso para librarme de los bienes materiales.;;;;;;;;;x
EVTOPTA_SUFI_4408_GREEDY;The money will come to good use, I am sure.;Je suis sûr[Root.GetNoneE] que l'argent arrivera à bon port.;Ich bin sicher, das Geld wird gute Verwendung finden.;;Sé que usarán bien ese dinero.;;;;;;;;;x
# EVTDESC_SUFI_4409_GREEDY;I ordered one of my most trusted servants to take a substantial sum of money from my personal treasury and bring it to the local [Root.GetsufiMoBuilding]. However, as soon as [Root.GetSheHe] left the room, a feeling of overwhelming unease came over me, and I could not focus on my prayers. The feeling kept growing by the minute and when my servant returned I immediately demanded that [Root.GetSheHe] would go and get the money back. Now everyone knows about my greed!;J'ai ordonné à un[Root.GetNoneE] de mes domestiques les plus dignes de confiance de prendre une somme d'argent substantielle de mon trésor personnel et de l'apporter au [Root.GetsufiMoBuilding] local. Cependant, dès qu'[Root.GetIlElle] a quitté la pièce, le sentiment d'un malaise accablant est abattu sur moi, et je n'ai pas pu me concentrer sur mes prières. Le sentiment a continué à croître de minute en minute, et quand m[Root.GetOnA] domestique est revenu[Root.GetNoneE], j'ai immédiatement demandé qu'[Root.GetIlElle] aille récupérer l'argent. Maintenant tout le monde connaît ma cupidité !;Ich beauftragte [Root.Geteineneine] meiner Bediensteten, eine beachtliche Summe Geld aus meiner persönlichen Schatzkammer zum [Root.GetsufiMoBuilding] zu bringen. Sobald [Root.GetSheHe] das Zimmer jedoch verließ, überkam mich ein überwältigendes Gefühl der Unsicherheit und ich konnte mich nicht auf meine Gebete konzentrieren. Das Gefühl wurde von Minute zu Minute stärker und als m[Root.Geteineine] Bedienstete[Root.GetMrMale] zurückkehrte, verlangte ich sofort von [Root.ihmihr], das Geld zurückzuholen. Jetzt weiß jeder, wie gierig ich bin!;;He ordenado a uno de mis sirvientes de confianza que coja una cantidad de dinero de mi cámara del tesoro y la lleve al [Root.GetsufiMoBuilding] local. En cuanto me he quedado a solas me ha invadido una gran ansiedad que me ha impedido concentrarme en mis plegarias. El desasosiego ha ido en aumento, así que cuando ha vuelto el sirviente le he exigido que fuera a recuperarlo. ¡Todos se han enterado de mi codicia!;;;;;;;;;x
EVTOPTA_SUFI_4409_GREEDY;I wish I wouldn't have acted so rashly...;J'aurais aimé ne pas avoir agi si imprudemment...;Ich wünschte, ich hätte nicht so voreilig gehandelt ...;;No debería haberme precipitado.;;;;;;;;;x
EVTDESC_SUFI_4405_SLOTHFUL;For a true follower of [Root.GetsufiMoCode], the importance of saying prayers and studying [Root.Religion.GetScriptureName] – at least my [Root.Religion.GetPriestTitle] says so. However, while [Root.GetsufiMoPenanceMeditation] for days on end, I struggle to stay focused. Sometimes I feel that I am just sitting here, doing nothing. If I closed my eyes for just a moment... surely that would not be so bad?;Qui suit [Root.GetsufiMoCode] se doit de faire la prière et d'étudier [Root.Get_le_Scripture][Root.Religion.GetScriptureName] – du moins c'est ce que mon [Root.Religion.GetPriestTitle] dit. Cependant, passant des jours [Root.GetsufiMoPenanceMeditation], je lutte pour rester concentré[Root.GetNoneE]. Parfois, je sens que je suis juste assis[Root.GetNoneE] ici, à ne rien faire. Si je fermais les yeux un instant... sûrement que ce ne serait pas si mauvais ?;Für einen wahren Anhänger von [Root.GetsufiMoCodedemder] ist es wichtig, die Gebete zu sprechen und das Werk "[Root.Religion.GetScriptureName]" zu studieren – zumindest sagt das mein(e) [Root.Religion.GetPriestTitle]. Während einer tagelangen [Root.GetsufiMoPenanceMeditation] kann ich mich jedoch nicht konzentrieren. Manchmal habe ich das Gefühl, ich säße nur da und würde nichts tun. Wenn ich meine Augen nur einen Moment schließe ...;;Para los verdaderos seguidores de [Root.GetsufiMoCode], es importante rezar y estudiar el [Root.Religion.GetScriptureName]. Al menos eso es lo que dice mi [Root.Religion.GetPriestTitle]. Sin embargo, tras unos días de [Root.GetsufiMoPenanceMeditation], me cuesta concentrarme. A veces siento que estoy perdiendo el tiempo. ¿Sería muy grave que cerrara los ojos un instante?;;;;;;;;;x
EVTOPTA_SUFI_4405_SLOTHFUL;A little nap would do me good.;Un petit somme me ferait du bien.;Ein kleines Nickerchen würde mir guttun.;;Una siestecita me sentaría bien.;;;;;;;;;x
EVTOPTB_SUFI_4405_SLOTHFUL;If I am getting tired, I must double my efforts!;Si je fatigue, je dois redoubler d'efforts !;Wenn ich müde werde, muss ich mich doppelt so sehr anstrengen!;;Si me entra sueño, ¡tengo que esforzarme el doble!;;;;;;;;;x
EVTDESC_SUFI_4406_SLOTHFUL;I was so immensely bored by my prayers and [Root.Religion.GetScriptureName], but after a little nap my duties did not feel quite so impossible anymore. I cannot expect myself to become like [Root.GetsufiMoSaint] overnight. One step at a time, I say!;C'était très assommant de faire la prière et lire [Root.Get_le_Scripture][Root.Religion.GetScriptureName], mais après une petite sieste mes devoirs ne me semblent plus si hors de portée. Je ne peux pas m'attendre à devenir comme [Root.GetsufiMoSaint] du jour au lendemain. Une étape à la fois !;Die Gebete und "[Root.Religion.GetScriptureName]" langweilten mich so sehr, aber nach einem kleinen Nickerchen schienen meine Pflichten nicht mehr komplett unmöglich. [Root.GetsufiMoSaint], ich kann nicht über Nacht so werden wie du. Ein Schritt nach dem anderen, sage ich!;;La repetición incesante de plegarias y la lectura de las sagradas escrituras resultan soporíferas, pero tras una siestecita, ninguna tarea me parece imposible. No puedo esperar ser como [Root.GetsufiMoSaint] de la noche a la mañana. Poco a poco.;;;;;;;;;x
EVTOPTA_SUFI_4406_SLOTHFUL;That was wise of me.;C'était judicieux de ma part.;Ich habe weise gehandelt.;;Ha sido una buena decisión.;;;;;;;;;x
EVTDESC_SUFI_4407_SLOTHFUL;Waking up was an unpleasant experience, to say the least. I had sunk to the floor and also managed to get drool all over the chest of my garb. When I sluggishly pushed myself back to seated, I was aghast to realize that the room was pitch black! It was in the middle of the night and every single candle had burned out.;Se réveiller a été une expérience désagréable, pour ne pas dire plus. J'étais tombé[Root.GetNoneE] sur le sol et avait aussi réussi à baver sur tout le haut de mon vêtement. Quand je me suis lentement rassis[Root.GetNoneE], j'ai été effrayé[Root.GetNoneE] de réaliser que la pièce était dans une obscurité profonde ! C'était le milieu de la nuit et chaque bougie avait brûlé entièrement.;Als ich aufwachte, fühlte ich mich, gelinde gesagt, schlecht. Ich bin auf den Boden gesunken und das Oberteil meiner Kleidung war voller Speichel. Als ich mich träge in eine sitzende Position begab, musste ich zu meinem Entsetzen feststellen, dass es im Raum stockduster war! Es war mitten in der Nacht und jede einzelne Kerze war ausgegangen.;;El despertar ha sido brusco, literalmente. Me había caído al suelo y se me estaba cayendo la baba en el pecho. Me he sentado lentamente y casi me da un ataque al ver que la habitación estaba totalmente a oscuras. Era de madrugada y todas las velas se habían consumido.;;;;;;;;;x
EVTOPTA_SUFI_4407_SLOTHFUL;It was only supposed to be a little nap!;C'était seulement censé être une petite sieste !;Ich wollte nur ein kurzes Nickerchen halten!;;¡Pero si solo quería dar una cabezadita!;;;;;;;;;x
EVTDESC_SUFI_4408_SLOTHFUL;During the first hours every minute felt like an eternity, but then it got easier. My weariness was as good as gone and a certain passage of [Root.Religion.GetScriptureName] grabbed my interest. I kept reading, consumed by the powerful words, and suddenly it was morning! I went to sleep with a smile upon my lips and a renewed sense of purpose.;Pendant les premières heures, chaque minute était comme une éternité, mais alors c'est devenu plus facile. Ma fatigue avait presque disparu et un certain passage dans [Root.Get_le_Scripture][Root.Religion.GetScriptureName] a suscité mon intérêt. J'ai continué à lire, consommé[Root.GetNoneE] par les mots puissants, et tout à coup c'était le matin ! Je suis allé[Root.GetNoneE] dormir avec le sourire aux lèvres et un nouveau but.;Während der ersten Stunden fühlte sich jede Minute wie eine Ewigkeit an, aber dann wurde es leichter. Meine Müdigkeit war so gut wie verflogen und eine bestimmte Passage aus dem Werk "[Root.Religion.GetScriptureName]" weckte mein Interesse. Ich hörte nicht auf zu lesen, die mächtigen Worte faszinierten mich, und plötzlich war es Morgen! Mit einem Lächeln auf den Lippen und neuem Selbstbewusstsein schlief ich ein.;;Las primeras horas se me hicieron eternas, pero después el tiempo empezó a pasar más rápido. Mi cansancio había desaparecido y me había enfrascado en un pasaje de las sagradas escrituras. Seguí leyendo con atención las valiosas palabras... y cuando me di cuenta, ¡se había hecho de día! Me fui a dormir con una sonrisa en los labios y una determinación renovada.;;;;;;;;;x
EVTOPTA_SUFI_4408_SLOTHFUL;Self-control is far greater a reward than indulgence.;La maîtrise de soi est une récompense beaucoup plus grande que l'indulgence.;Selbstbeherrschung ist eine viel größere Belohnung als Schwelgerei.;;El autocontrol es más gratificante que la indulgencia.;;;;;;;;;x
EVTDESC_SUFI_4409_SLOTHFUL;I do not remember falling asleep, but suddenly I realized I was sprawled across the floor. Apparently I had crashed on top of my copy of [Root.Religion.GetScriptureName], because once I struggled to my feet I noticed that its pages were torn and that I had ink smeared across my face. No matter how hard I tried, I could not wash it off. Surely my servants are gossiping about my failure, and soon everyone will know!;Je ne me souviens pas de m'être endormi[Root.GetNoneE], mais je réalise soudainement que je suis étendu[Root.GetNoneE] sur le plancher. Apparemment, je me suis écroulé[Root.GetNoneE] sur ma copie [Root.Get_du_Scripture][Root.Religion.GetScriptureName], car après avoir lutté pour me relever, je remarque que les pages sont déchirées et que j'ai des traces d'encre sur mon visage. Peu importe comment, je n'arrive pas à me nettoyer. Mes domestiques sont sûrement en train de parler entre eux de mon échec, et bientôt tout le monde saura !;Ich erinnerte mich nicht, eingeschlafen zu sein, aber plötzlich merkte ich, wie ich quer über dem Boden lag. Offenbar bin ich geradewegs auf meine Ausgabe von "[Root.Religion.GetScriptureName]" gefallen, denn als ich mich aufrichtete, sah ich, dass die Seiten zerrissen waren und mein Gesicht mit Tinte bekleckert war. Wie sehr ich es auch versuchte, ich konnte sie nicht wegbekommen. Bestimmt plappern meine Bediensteten bereits über mein Missgeschick und bald werden es alle wissen!;;No recuerdo haberme dormido, pero de pronto me di cuenta de que estaba en el suelo. Por lo visto me dormí encima de las sagradas escrituras, porque cuando logré ponerme de pie, vi que había varias páginas arrancadas y que tenía la cara manchada de tinta. Por mucho que froté, no logré quitármela. Creo que mi fracaso es la comidilla de mis sirvientes, lo que significa que pronto lo sabrá todo el mundo.;;;;;;;;;x
EVTOPTA_SUFI_4409_SLOTHFUL;What an embarrassment!;Quel embarras !;Wie peinlich!;;¡Qué vergüenza!;;;;;;;;;x
EVTOPTA_SUFI_4408_TOOLTIP;Through perseverance and concentration you have managed to defeat your sinful nature and maintain seclusion.;Grâce à de la persévérance et de la concentration, vous avez réussi à vaincre votre nature pécheresse et maintenir l'isolement.;Mit Geduld und Konzentration konntet Ihr Euer sündiges Wesen bezwingen und bliebt an Eurem abgeschiedenen Ort.;;La perseverancia y la concentración te permiten superar tu naturaleza pecaminosa en reclusión.;;;;;;;;;x
EVTOPTA_SUFI_4409_TOOLTIP;You have been betrayed by your sinful nature and broken seclusion for a time. This has shamed you in the eyes of others and greatly hampered your progress.;Vous avez été trahi[Root.GetNoneE] par votre nature pécheresse et la réclusion interrompue pendant un certain temps. Cela vous a couvert[Root.GetNoneE] de honte et a grandement entravé votre progression.;Ihr wurdet von Eurem sündigen Wesen hintergangen und seid für kurze Zeit aus Eurer Abgeschiedenheit zurückgekehrt. Ihr habt Euch in den Augen anderer mit Schande beladen und Euren Fortschritt ernsthaft behindert.;;Tu naturaleza pecaminosa te traiciona y has abandonado la reclusión por un rato. Los demás ven esto como una deshonra, lo que obstaculiza tu progreso.;;;;;;;;;x
EVTOPTA_SUFI_4410_TOOLTIP;§Y[Root.GetTitledFirstName]§! struggles while [Root.GetsufiMoPenanceMeditation].\n;[Root.Get_Le_Title]§Y[Root.GetTitledFirstName]§! a du mal [Root.GetsufiMoPenanceMeditation].\n;§Y[Root.GetTitledFirstName]§! kämpft mit der [Root.GetsufiMoPenanceMeditation].\n;;A §Y[Root.GetTitledFirstName]§! le cuesta llevar a cabo su [Root.GetsufiMoPenanceMeditation].;;;;;;;;;x
