#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTOPTC91355;Maybe I can appeal to [From.GetHerHis] greedy side...;Peut-être pourrai-je faire appel à son côté cupide...;Vielleicht nützt mir [From.GetHerHis] Gier ...;;Tal fez puedo atraer a [From.GetHerHis] lado codicioso;;;;;;;;;x
EVTNAME20221;Raid Organized;Pillage organisé;Überfall organisiert;;Asalto Organizado;;;;;;;;;x
EVTDESC20221;With enticing words of riches beyond measure, I have gathered up a mighty host in [Root.Location.GetName]. These men do not like to sit idle though...;Parler de grandes richesse attire toujours l'attention : j'ai pu rassembler une puissante armée à [Root.Location.GetName]. Mais ces hommes n'aiment pas rester inactifs...;Durch verlockende Reden von unermesslichen Reichtümern konnte ich ein mächtiges Heer in [Root.Location.GetName] versammeln. Untätigkeit ist diesen Männern allerdings ein Gräuel ...;;Con tentadoras promesas de riquezas sin mesura, en [Root.Location.GetName] he juntado a una poderosa horda. Pero a estos hombre no les gusta quedarse con los brazos cruzados...;;;;;;;;;x
EVTOPTA20221;My [Root.Liege.PrimaryTitle.GetRulerTitle] will be pleased!;Notre [Root.Liege.PrimaryTitle.GetRulerTitle] appréciera !;Mein [Root.Liege.PrimaryTitle.GetRulerTitle] wird erfreut sein!;; Mi [Root.Liege.PrimaryTitle.GetRulerTitle]quedará contento!;;;;;;;;;x
EVTDESC20222;My [Root.GetMarshalName], [From.GetTitledFirstName], has gathered up a great host of raiders, lusting for plunder and wanton destruction. I must use these men and not allow them to sit idle for too long!;Notre [Root.GetMarshalName], [From.GetTitledFirstName], a rassemblé une grande armée de pillards assoiffés de richesses et de destruction. Je dois les utiliser, ils n'aiment pas rester inactifs trop longtemps !;Mein [Root.GetMarshalName] [From.GetTitledFirstName] hat ein großes Heer aus Plünderern aufgestellt. Nichts würden sie lieber tun als rauben und brandschatzen! Ich darf sie nicht zu lange untätig herumsitzen lassen!;;Mi [Root.GetMarshalName], [From.GetTitledFirstName], ha reunido un buen número de jinetes que ambicionan el botín y la destrucción sin sentido. ¡Tengo que utilizar a estos hombres y no permitir que se estén de brazos cruzados durante demasiado tiempo!;;;;;;;;;x
EVTOPTA20222;Great news indeed!;Une bonne nouvelle en effet !;Wirklich großartige Neuigkeiten!;;De hecho ¡Buenas noticias!;;;;;;;;;x
EVTDESC20224;The raiding party my [Root.GetLordSpiritualName] gathered up to fight for me have grown tired of my effeminate pacifism and gone home to their wives, but not before picking up everything they could find of value!;Les pillards assemblés par notre [Root.GetLordSpiritualName] se sont lassés de mon pacifisme efféminé et sont allés rejoindre leurs épouses. Mais avant de partir, ils ont emporté tout ce qu'ils pouvaient !;Die Plünderer, die mein [Root.GetLordSpiritualName] für mich angeworben hat, hatten genug von meinem weibischen Pazifismus und sind nach Hause zu ihren Frauen zurückgekehrt. Allerdings nicht, ohne zuvor alles, was nicht niet- und nagelfest war, mitzunehmen!;;El grupo de jinetes que mi [Root.GetLordSpiritualName] reunió para luchar para mí se ha cansado de mi afeminado pacifismo y han regresado a casa con sus esposas, ¡pero llevándose todo lo de valor que encontraron!;;;;;;;;;x
EVTOPTA20224;Thieves! Uh, well...;Les voleurs ! C'est la vie...;Diebe! Na, dann ...;;¡Ladrones! ..de hecho..;;;;;;;;;x
CHRONICLE_PLAYER_INHERITANCE_NORMAL;[From.GetTitledName] [From.GetDeathReason] on [GetDateText]. [From.GetPossPronounCap] [GetFromReverseRelation], [Root.GetFirstName], succeeded to the throne of the [From.PrimaryTitle.GetTier] with a grand ceremony in [Root.Capital.Capital.GetName].;[From.GetTitledName] [From.GetDeathReason] le [GetDateText]. [From.GetPossPronounCap] [GetFromReverseRelation], [Root.GetFirstName], lui succède sur le trône de [From.PrimaryTitle.GetTier] et une grande cérémonie est organisée à [Root.Capital.Capital.GetName].;[From.GetTitledName] [From.GetDeathReason] am [GetDateText]. [From.GetPossPronounCap] [GetFromReverseRelation] [Root.GetFirstName] trat die Nachfolge auf dem Thron nach feierlicher Zeremonie in [Root.Capital.Capital.GetName] an.;;[From.GetTitledName] [From.GetDeathReason] el [GetDateText]. [From.GetPossPronounCap] [GetFromReverseRelation], [Root.GetFirstName], heredó el trono del [From.PrimaryTitle.GetTier] con una gran ceremonia en [Root.Capital.Capital.GetName].;;;;;;;;;x
CHRONICLE_PLAYER_INHERITANCE_NEW_RELIGION;On [GetDateText], [From.GetTitledName] [From.GetDeathReason]. [From.GetSubjectPronounCap] was succeeded by [From.GetPossPronoun] [Root.Religion.GetName] [Root.Religion.GetGroupName] [GetFromReverseRelation] [Root.GetFirstName].;Le [GetDateText], [From.GetTitledName] [From.GetDeathReason]. [From.GetSubjectPronounCap] a eu comme successeur [From.GetPossPronoun] [GetFromReverseRelation] [Root.GetFirstName], de religion [Root.Religion.GetName] [Root.Religion.GetGroupName].;Am [GetDateText], [From.GetTitledName] [From.GetDeathReason]. Nachfolger wird [From.GetPossPronoun] [Root.Religion.GetName] [Root.Religion.GetGroupName] [GetFromReverseRelation] [Root.GetFirstName].;;El [GetDateText], [From.GetTitledName] [From.GetDeathReason]. [From.GetSubjectPronounCap] fue heredado por [From.GetPossPronoun] [Root.Religion.GetName] [Root.Religion.GetGroupName] [GetFromReverseRelation] [Root.GetFirstName].;;;;;;;;;x
CHRONICLE_PLAYER_INHERITANCE_NEW_CULTURE;[From.GetTitledName] [From.GetDeathReason] on [GetDateText]. [From.GetPossPronounCap] [Root.Culture.GetName] [GetFromReverseRelation] [Root.GetFirstName] succeeded to the throne of the [From.PrimaryTitle.GetTier] as [Root.GetTitledFirstName].;[From.GetTitledName] [From.GetDeathReason] le [GetDateText]. [From.GetPossPronounCap] [GetFromReverseRelation] [Root.GetFirstName] de culture [Root.Culture.GetName] est monté sur le trône de [From.PrimaryTitle.GetTier] en tant que [Root.GetTitledFirstName].;[From.GetTitledName] [From.GetDeathReason] am [GetDateText]. [From.GetPossPronounCap] [Root.Culture.GetName] [GetFromReverseRelation] [Root.GetFirstName] trat die Nachfolge auf dem Thron als [Root.GetTitledFirstName] an.;;[From.GetTitledName] [From.GetDeathReason] el [GetDateText]. [From.GetPossPronounCap] [Root.Culture.GetName] [GetFromReverseRelation] [Root.GetFirstName] subió al trono de [From.PrimaryTitle.GetTier] como [Root.GetTitledFirstName].;;;;;;;;;x
CHRONICLE_PLAYER_INHERITANCE_NEW_CULTURE_AND_RELIGION;[From.GetTitledName] [From.GetDeathReason] on [GetDateText]. [From.GetSubjectPronounCap] was succeeded to the throne of the [From.PrimaryTitle.GetTier] by [From.GetPossPronoun] [Root.Culture.GetName] [GetFromReverseRelation] [Root.GetFirstName], a committed [Root.Religion.GetName] [Root.Religion.GetGroupName].;[From.GetTitledName] [From.GetDeathReason] le [GetDateText]. [From.GetSubjectPronounCap] a eu comme successeur au trône de [From.PrimaryTitle.GetTier] [From.GetPossPronoun] [GetFromReverseRelation] [Root.GetFirstName], de culture [Root.Culture.GetName], de foi [Root.Religion.GetName] [Root.Religion.GetGroupName].;[From.GetTitledName] [From.GetDeathReason] am [GetDateText]. Nachfolger auf dem Thron wird [From.GetPossPronoun] [Root.Culture.GetName] [GetFromReverseRelation] [Root.GetFirstName], ein überzeugter [Root.Religion.GetName] [Root.Religion.GetGroupName].;;[From.GetTitledName] [From.GetDeathReason] el [GetDateText]. [From.GetSubjectPronounCap] fue sucedido en el trono de [From.PrimaryTitle.GetTier] por [From.GetPossPronoun] [Root.Culture.GetName] [GetFromReverseRelation] [Root.GetFirstName], un [Root.Religion.GetGroupName] [Root.Religion.GetName] comprometido.;;;;;;;;;x
jewish_group;Israelite;israélite;Israelit;;Israelita;;;;;;;;;x
zoroastrian_group;Mazdan;mazdan;Mazdan;;Mazdan;;;;;;;;;x
indian_group;Dharman;dharman;Dharman;;Dharman;;;;;;;;;x
embargo_cb_desc;This Casus Belli allows you to destroy all of §Y$TARGET$§!'s Trade Posts in your entire Realm.;Ce casus belli vous permet de détruire tous les postes de commerce de §Y$TARGET$§! présents dans votre royaume.;Dieser Kriegsgrund erlaubt es Euch, alle Handelsposten von §Y$TARGET$§! in Eurem Gebiet zu zerstören.;;Este Casus Belli te permite destruir todos los Puestos Comerciales de §Y$TARGET$§! en todo tu Reino.;;;;;;;;;x
vice_royalty_desc;Emperors can grant kingdoms or duchies to vassals as Viceroyalties. Such grants are not inherited and will revert back to the emperor when the Viceroy dies - a handy way of staying below your Vassal Limit.;Les empereurs peuvent donner des royaumes ou des duchés à leurs vassaux en tant que vice-royautés. Ces dons ne sont pas héréditaires et retournent à l'empereur à la mort du vice-roi. Une manière bien commode de ne pas dépasser votre limite de vassaux.;Kaiser können Vasallen mit Königreichen oder Herzogtümer belehnen, die dann als Vizekönigreiche gelten. Diese Lehen werden nicht vererbt, sondern fallen an den Kaiser zurück, wenn der Vizekönig stirbt. So ist es leichter, unter dem Vasallenlimit zu bleiben.;;Los emperadores pueden conceder reinos o ducados a los vasallos como Virreinatos. Otorgamientos como éste no se heredan y volverán al emperador cuando muera el virrey -una manera práctica de permanecer por debajo de tu Límite de Vasallos.;;;;;;;;;x
opinion_castrated_close_kin;Castrated Close Kin;Proche parent castré;Kastrierte engen Verwandten;;Pariente Cercano Castrado;;;;;;;;;x
opinion_blinded_close_kin;Blinded Close Kin;Proche parent aveuglé;Blendete engen Verwandten;;Pariente Cercano Cegado;;;;;;;;;x
TITLE_USURPTION_TEMPORARY_TITLE;Neither temporary title holders nor their vassals can usurp any titles;Ni les titulaires de titres temporaires ni leurs vassaux ne peuvent usurper un titre.;Inhaber eines temporären Titels oder ihre Vasallen können keine Titel übernehmen.;; Ni los poseedores de títulos temporales ni sus vasallos pueden usurpar ningún título.;;;;;;;;;x
#EVTDESC107000;Behold! The world as we know it in the year of our Saviour, 1066. As you can tell, it is divided into distinct regions - Counties - each controlled by some lord or another. Crusader Kings II is a game about these lords, their families, relations, intrigue... and power. Be a conqueror or a peaceful family father, as you will, but know that most other characters will lust after more land, more Counties.\n\nCrusader Kings II is a real-time game. Close this window and unpause the game using the speed widget...;Oyez ! Oyez ! Voici le monde tel qu'il est en l'an de grâce 1066. Comme vous le voyez, il est divisé en régions distinctes, les comtés. Chaque comté est contrôlé par un seigneur. Crusader Kings II est un jeu qui met en avant ces seigneurs, leurs familles, les relations, les intrigues... Et le pouvoir. Conquérant ou paisible chef de famille, vous faites votre choix, mais sachez que la plupart des personnages auront soif de territoires...\n\nCrusader Kings II est un jeu en temps réel. Fermez cette fenêtre et quittez la pause en utilisant les options de vitesse.;Seht! Die Welt im Jahre des Herren, 1066. Wie Ihr seht, ist sie in verschiedene Grafschaften aufgeteilt, die von verschiedenen Fürsten beherrscht werden. Im Mittelpunkt von Crusader Kings II stehen diese Fürsten, ihre Familien, Beziehungen, Intrigen und ihre Macht. Ihr könnt ein Eroberer sein oder ein friedlicher Familienvater, ganz wie Ihr wollt. Doch Ihr solltet wissen, dass die meisten anderen Personen nach mehr Land und nach weiteren Grafschaften trachten.\n\nCrusader Kings II ist ein Echtzeitspiel. Schließt nun dieses Fenster und setzt das Spiel fort über die Geschwindigkeitskontrolle.;;¡Mirad! El mundo tal y como lo conocíamos en el año de nuestro Salvador, en el 1066. Como podéis ver, está dividido en varias regiones -Condados- cada una controlada por un noble u otro. Crusader Kings II es un juego sobre estos nobles, sus familias, relaciones, intriga... y poder. Sé un conquistador o un pacífico padre de familia, como tú quieras, pero ten en cuenta que la mayoría de los demás personajes ambicionarán más tierras, más condados.\n\nCrusader King II es un juego en tiempo real. Cierra esta ventana y reanuda el juego con la herramienta velocidad...;;;;;;;;;x
EVTDESC107001;You will play as a succession of characters from the same Dynasty, down the ages. In this Learning Scenario, you will be safe from attack and internal strife until your ruler turns 40 years old. When this happens, [Root.GetFirstName] will die (normally though, characters die of old age, disease or violence) and the Learning Scenario will end. When [Root.GetSubjectPronoun] dies, you can keep playing a normal game as [Root.GetPossPronoun] Heir. Feel free to navigate through the game as you wish, but note that if you do not follow the Learning Scenario instructions you might miss out on further help.;Vous jouerez une lignée de personnages de la même dynastie, époque après époque. Dans ce scénario d'apprentissage, les attaques et les luttes internes n'existent pas tant que votre personnage n'a pas 40 ans. Ensuite, [Root.GetFirstName] mourra (en temps normal cependant, les personnages meurent de vieillesse, de maladie ou d'une mort violente) et le scénario d'apprentissage se terminera. À la mort de votre personnage, vous pourrez continuer à jouer normalement en endossant le rôle de son héritier. Vous pouvez naviguer dans le jeu comme vous l'entendez, mais souvenez-vous que si vous ne suivez pas les instructions du scénario, vous risquez de passer à côté de précieux conseils.;Ihr spielt als eine Folge von Personen aus derselben Dynastie und durchlauft als diese die Zeitalter. Im Übungsszenario seid Ihr vor Angriffen und inneren Zwistigkeiten geschützt, bis Euer Herrscher 40 Jahre alt ist. Im Anschluss daran stirbt [Root.GetFirstName] (normalerweise sterben Personen jedoch altersbedingt, gewaltsam oder an Krankheiten) und das Übungsszenario endet. Wenn [Root.GetSubjectPronoun] stirbt, könnt Ihr das Spiel als [Root.GetPossPronoun] Erbe wie ein normales Spiel fortsetzen. Ihr könnt im Spiel frei agieren, solltet jedoch wissen, dass Euch möglicherweise zusätzliche Unterstützung entgeht, wenn Ihr den Instruktionen des Übungsszenarios nicht folgt.;;Jugarás como una sucesión de personajes de la misma Dinastía a través de los años.  En este Escenario de Aprendizaje estarás a salvo de ataques y luchas internas hasta que tu gobernante alcance la edad de 40 años. Llegado ese momento, [Root.GetFirstName] morirá (a pesar de que lo habitual es que los personajes mueran de vejez, enfermedades o violencia) y el Escenario de Aprendizaje finalizará. Cuando [Root.GetSubjectPronoun] muera, puedes continuar jugando como [Root.GetPossPronoun] Heredero en lo que será ya, un juego normal. Eres libre de navegar por el juego como desees, pero debes saber que si no sigues las instrucciones del Escenario de Aprendizaje te perderás próximas ayudas.;;;;;;;;;x
EVTDESC107009;When you have found a good character to marry, click on their portrait and the Diplomacy Icon to open the Diplomatic View (if you do this through the Arrange Marriage function you need only click the portrait). Here you may ask the Liege of your intended wife about the possibility of arranging a marriage. The Diplomatic View is the main way to interact with other characters. Go ahead and arrange the marriage!;Lorsque vous trouvez la bonne personne à épouser, cliquez sur son portrait et sur l'icône de diplomatie pour ouvrir la fenêtre diplomatique (si vous utilisez la fonction Organiser un mariage, vous devrez seulement cliquer sur son portrait). Vous pouvez ici demander au seigneur de votre future femme s'il accepte le mariage. La vue diplomatique vous permet d'interagir avec d'autres personnages. Allez-y, mariez-vous !;Wenn Ihr eine passende Person zum Heiraten gefunden habt, klickt auf das Porträt und das Diplomatiesymbol, um die Diplomatieansicht zu öffnen (wenn ihr Euch in der Funktion 'Heirat arrangieren' befindet, genügt ein einfacher Klick auf das Porträt). Ihr könnt nun den Lehnsherrn der Person um Erlaubnis bitten. Die Diplomatieansicht ist das wichtigste Instrument zur Interaktion mit anderen Spielfiguren. Fahrt fort und arrangiert die Heirat!;;Cuando encuentres un buen personaje para casarte, haz clic sobre su retrato y el Icono Diplomacia para abrir la Vista Diplomática (si lo haces a través de la función Concertar Matrimonio, solo tendrás que hacer clic sobre el retrato). Entonces tendrás que pedir la mano de tu pretendida esposa al Señor feudal para poder arreglar el matrimonio. La Vista Diplomática es la principal via de interaccionar con otros personajes. ¡Adelante y arregla tu matrimonio!;;;;;;;;;x
EVTDESC107303;It appears you don't have enough ships to transport the Army. Sometimes when you're at War, the Levies from your Demesne and your Vassals might not be enough. In these cases it is wise to hire Mercenaries. This can be done via the Mercenaries Tab in the Military View. Newly hired Mercenaries arrive in your capital County. They are very expensive, both to hire and maintain. Take a look at the mercenary composition before you hire them. Some are made entirely out of Armies while others consist only of Fleets. Hire some naval mercs! They will spawn in a Sea Area West of your Realm.;Il semble que vous n'ayez pas assez de navires pour transporter votre armée. Parfois, quand vous êtes en quête, les troupes de votre domaine et de vos vassaux peuvent s'avérer insuffisantes. Si cela se produit, il est sage d'embaucher des mercenaires. Faites cela depuis l'onglet Mercenaires, dans la vue militaire. Les mercenaires embauchés apparaissent dans le comté de votre capitale. Ils coûtent cher à l'embauche et à l'entretien. Regardez la composition des mercenaires avant de les embaucher. Certains groupes ne sont que des armées, d'autres que des navires. Embauchez des mercenaires marins ! Ils apparaîtront dans la zone maritime à l'ouest de votre royaume.;Anscheinend habt Ihr für den Transport Eurer Armee nicht genug Schiffe. Im Krieg reichen die Truppentribute eurer Domäne und eurer Vasallen manchmal nicht aus. In diesem Fall empfiehlt es sich, auf Söldner zurückzugreifen. Dies erfolgt über den Reiter 'Söldner' in der Militäransicht. Frisch angeheuerte Söldner erscheinen in der Grafschaft, in der sich Euer Regierungssitz befindet. Söldner sind sehr teuer, sowohl in der Anschaffung als auch im Unterhalt. Bevor Ihr Söldner anheuert, solltet Ihr einen Blick auf ihre Truppenzusammenstellung werfen. Manche Söldnergruppen bestehen ausschließlich aus Landtruppen, während andere nur aus Schiffen bestehen. Heuert nun eine Söldnerflotte an! Sie erscheint im Meer westlich von Eurem Reich.;;Parece que no tienes suficientes embarcaciones para transportar el Ejército. A veces, cuando estás en Guerra, las Levas de tu Terratenencia y tus Vasallos pueden no ser suficientes. En estos casos lo más inteligente es contratar a Mercenarios. Lo podrás hacer a través de la Pestaña Mercenarios en la Vista Militar. Los mercenarios recién contratados llegan a la capital de tu Condado. Son muy caros de contratar y también de mantener. Echa un vistazo al convenio de mercenarios antes de contratarlos. Algunos están formados enteramente por Ejércitos mientras que otros están compuestos únicamente por Flotas. ¡Contrata algunos mercenarios navales! Ellos expandirán tu Reino hacia una Zona Oriental del Mar.;;;;;;;;;x
EVTDESC107325;You are now over your Demesne Limit, meaning you have more Holdings than is seemly for you to rule personally. Your Vassals will dislike you for being over this limit, so you need to do something about it, and soon! In the long term, you can increase your demesne limit by increasing your Stewardship Attribute (and your wife's), but in the short term you need to give some of your Titles to your Vassals. You can do this by clicking on the character you want to give Titles to, and open their Diplomatic View. Look in the Character Finder or in the Court Tab in your Character View to find suitable characters.;Votre territoire a atteint sa taille maximale, ce qui veut dire que vous avez plus de terres que ce que vous pouvez contrôler. Vos vassaux n'apprécieront pas que vous dépassiez cette limite, et vous devez résoudre la situation sans tarder ! À long terme, vous pouvez augmenter la taille de votre domaine en augmentant votre compétence d'intendance (et celle de votre épouse), mais à court terme, vous devrez donner certains de vos titres à vos vassaux. Faites cela en cliquant sur le portrait du personnage auquel vous voulez donner des titres, puis ouvrez la vue diplomatique, puis l'onglet de cour ou la recherche de personnage, pour trouver des personnages adéquats.;Ihr habt nun Euer Domänenlimit überschritten. Das heißt, dass sich mehr Besitztümer unter Eurer persönlichen Kontrolle befinden als Euch zustehen. Durch das Überschreiten dieser Grenze zieht Ihr euch die Mißbilligung Eurer Vasallen zu. Daher müsst Ihr Abhilfe schaffen, und zwar schnell. Langfristig könnt Ihr Euer Domänenlimit vergrößern, indem Ihr Eure Fähigkeit im Bereich 'Staatsverwaltung' steigert (bzw. die Eurer Frau), aber kurzfristig bleibt Euch nichts anderes übrig, als einige Eurer Titel an Vasallen zu übertragen. Hierzu wählt Ihr die Person aus, der Ihr einen Titel übertragen möchtet, und öffnet die Diplomatieansicht. Sucht über die Personensuche oder über die Charakteransicht (Bereich: Hof) nach geeigneten Kandidaten.;;Actualmente estás por encima de tu Límite de Terratenencia, lo que significa que tienes más Propiedades de las sería apropiado que gobernaras personalmente. A tus vasallos no les hará ninguna gracia que estés por encima de este límite, así que tendrás que hacer algo al respeto, ¡y pronto!. A la larga, podrás aumentar tu límite de Terratenencia incrementando tus Atributos de Administración (y los de tu esposa), pero a corto plazo tienes que entregar algunos de tus Títulos a tus Vasallos. Podrás hacerlo con un clic sobre el personaje al que quieras darle Títulos, y abrir su Vista Diplomática. Mira en el Buscador de Personajes o en la Pestaña de la Corte de tu Vista Personaje para encontrar los personajes apropiados.;;;;;;;;;x
CHRONICLE_JOINED_ALLY_IN_WAR;[Prev.GetTitledName] supported [From.GetTitledName] in war against [From.GetHerHis] enemies.;[Prev.GetTitledName] a soutenu [From.GetTitledName] dans la guerre contre ses ennemis.;[Prev.GetTitledName] unterstützte [From.GetTitledName] im Krieg gegen [From.GetHerHis] Feinde.;;[Prev.GetTitledName] apoyó a [From.GetTitledName] en la guerra contra [From.GetHerHis] enemigos;;;;;;;;;x
CHRONICLE_JOINED_ALLY_IN_WAR_2;[From.GetTitledName] supported [Prev.GetTitledName] in war against [Prev.GetHerHis] enemies.;[From.GetTitledName] a soutenu [Prev.GetTitledName] dans la guerre contre ses ennemis.;[From.GetTitledName] unterstützte [Prev.GetTitledName] im Krieg gegen [Prev.GetHerHis] Feinde.;; [From.GetTitledName] apoyó a [Prev.GetTitledName] en la guerra contra [Prev.GetHerHis] enemigos.;;;;;;;;;x
CHRONICLE_CRUSADE_LOST_NO_HEAD;The [From.Religion.GetCrusadeName] ended as the [From.Religion.GetName] no longer have a Religious Head.;La [From.Religion.GetCrusadeName] s'achève car le [From.Religion.GetName] n'a plus de chef religieux.;[From.Religion.GetCrusadeName] ist zu Ende, da [From.Religion.GetName] kein religiöses Oberhaupt mehr hat.;;[From.Religion.GetCrusadeName] terminó porque el [From.Religion.GetName] se quedó sin Líder Religioso.;;;;;;;;;x
ASK_FOR_DIVORCE_INTERACTION_1;Divorcing §Y[Actor.Spouse.GetFirstName]§W will cost you §R$COST$§W Prestige.;Divorcer de §Y[Actor.Spouse.GetFirstName]§W vous coûtera §R$COST$§W en prestige.;Die Scheidung von §Y[Actor.Spouse.GetFirstName]§W kostet Euch §R$COST$§W Prestige.;;;;;;;;;;;x
DIVORCE_INTERACTION_1;The divorce will also cost you §R$COST$§W prestige.;Le divorce vous coûtera également §R$COST$§W en prestige.;Die Scheidung kostet Euch auch §R$COST$§W Prestige.;;Divorciarte de §Y[Actor.Spouse.GetFirstName]§W te costará §R$COST$§W prestigio.;;;;;;;;;x
ERA_CHAR_INFO_3096;Born in Cairo, Al-Mustansir became Caliph when he was only 6 years old. During his early years, his mother Ma'd Abu Tamim acted as regent and saw to her son's safety. Once he became an adult, his reign was dominated by strong Viziers, and also plagued by chaos as famine weakened the realm and powerful groups of Turkish mercenaries dominated Egypt and struggled for power. Al-Mustansir never fully took the reins of power, but he was to become the longest-reigning Caliph in history.;Né au Caire, Al-Mustansir devint calife à l'âge de 6 ans. Durant les premières années de son règne, sa mère Ma'd Abu Tamim fut régente et veilla à la sécurité de son fils. Une fois adulte, son règne fut dominé par de puissants vizirs et miné par le chaos. La famine affaiblissait le royaume. Des troupes de mercenaires turcs sévissaient en Égypte et luttaient pour le pouvoir. Al-Mustansir n'eut jamais réellement le pouvoir, mais il allait devenir le calife au plus long règne de l'histoire.;Als der in Kairo geborene Al-Mustansir Kalif wurde, war er erst 6 Jahre alt. In jungen Jahren fungierte seine Mutter Ma'd Abu Tamim als Regentin und kümmerte sich um seine Sicherheit. Sobald er erwachsen war, wurde seine Herrschaft von starken Wesiren geprägt. Auch Hungersnöte und die Machtkämpfe mit mächtigen türkischen Söldnerbanden, die die Vorherrschaft in Ägypten übernommen hatten, belasteten seine Regierungszeit. Bis zuletzt konnte Al-Mustansir die Herrschaft nicht restlos übernehmen. Trotzdem wurde er zu einem der am längsten regierenden Kalifen aller Zeiten.;;Natural de El Cairo, Al-Mustansir se convirtió en Califa con sólo 6 años. Durante sus primeros años, su madre Ma'd Abu Tamim, ejerció la regencia y se encargó de la seguridad de su hijo. Cuando llegó a la edad adulta, su reino fue dominado por poderosos Visires y dominado por el caos. Mientras la hambruna debilitaba el reino, grupos de poderosos mercenarios turcos dominaron Egipto y lucharon por el poder. Al-Mustansir nunca tomó completamente las riendas del poder, pero llegó a ser el califa con el reinado más largo de la historia.;;;;;;;;;x
ERA_CHAR_INFO_3040;Alp Arslan, great-grandson of Seljuk, was born Muhammad bin Dawud Chaghri, but his strength, personal combat skills and valor were soon to earn him his honorary name, which means 'Heroic Lion'. Early on, he succeeded his father as governor of Khorasan, and after a succession crisis in 1064 he took the title of Sultan by force of arms, and became ruler of the immense Seljuk Empire. He then made war on the Byzantine Empire, defeating them thoroughly at the famous battle of Manzikert and taking the Emperor prisoner. This victory was a first step towards Turkish domination in Anatolia and was one of the major events triggering the crusades. He died true to his name, at the age of 42, refusing to let his guards help him against a rebel prisoner who came at him with a dagger.;Alp Arslan, arrière-petit-ils de Seldjouk, naquit sous le nom de Muhammad bin Da'ud Chaghri, mais sa force, son talent au combat et sa valeur lui donnèrent rapidement ce titre honorifique qui signifie 'Lion héroïque'. Très tôt, il succéda à son père en tant que gouverneur de Khorasan. Après la crise de succession de 1064, il s'empara du titre de sultan par les armes et devint le souverain de l'immense Empire seldjouk. Il mena ensuite la guerre à l'Empire byzantin et les battit à plates coutures à la célèbre bataille de Manzikert, lors de laquelle il captura l'empereur. Cette victoire était la première étape de la domination turque en Anatolie et constitua l'un des principaux déclencheurs des croisades. Il mourut fidèle à sa réputation, à l'âge de 42 ans, en refusant que ses gardes viennent l'aider à combattre un prisonnier rebelle qui l'attaquait à avec une dague.;Alp Arslan, der Urenkel von Seldschuk, wurde als Muhammad bin Dawud Chaghri geboren, doch aufgrund seiner Stärke, seiner Fähigkeiten im Zweikampf und seines Mutes wurde er schon bald unter dem Ehrennamen 'Heldenhafter Löwe' bekannt. Anfangs folgte er seinem Vater als Gouverneur von Khorasan, doch nach einer Erbfolgekrise im Jahre 1064 übernahm er mit Waffengewalt den Titel des Sultans und wurde fortan zum Herrscher über das riesige Seldschukenreich. Anschließend führte er Krieg gegen Byzanz, das er in der berühmten Schlacht von Manzikert besiegte, wobei er den Kaiser gefangen nehmen konnte. Dieser Sieg war ein erster Schritt zur türkischen Vorherrschaft in Anatolien und gleichzeitig einer der Auslöser für die Kreuzzüge. Sein Tod ereilte ihn, ganz im Sinne seines Namens, im Alter von 42, als ein gefangener Aufständischer ihn mit einem Dolch angriff und er die Hilfe seiner Wache ausschlug.;;Alp Arslan, bisnieto Selyúcida y nacido con el nombre de Muhammad bin Dawud Chaghri, pronto se ganó este honorable nombre que significa “León Heroico” por su fuerza, sus habilidades de combate y su valor. En etapas tempranas, sucedió a su padre como gobernador de Jorasán, y después de una crisis de sucesión en 1064, se hizo con el título de Sultán por la fuerza y se convirtió en el gobernante del inmenso Imperio Selyúcida. Luego entró en guerra con el Imperio Bizantino y lo derrotó por completo en la batalla de Malazgirt y haciendo prisionero al Emperador. Su victoria fue un primer paso hacia el dominio turco en Anatolia y fue uno de los principales desencadenantes de las cruzadas. Murió fiel a su nombre, a la edad de 42 años, rechazando la ayuda de sus guardas contra un prisionero rebelde que se dirigió a él con un puñal.;;;;;;;;;x
#ERA_CHAR_INFO_74441;Somesvara I of Chalukyas;Somesvara Ier des Chalukyas;Somesvara I. von den Chalukya;;Somesvara I de Chalukyas;;;;;;;;;x
